epoch,accuracy,loss,val_accuracy,val_loss
0,0.3667312562465668,1.3399629592895508,0.4495677351951599,1.3120062351226807
1,0.6263492703437805,1.0393967628479004,0.6224783658981323,0.9870368242263794
2,0.7830058336257935,0.6206508278846741,0.6829971075057983,0.825620710849762
3,0.8397453427314758,0.4320416748523712,0.6743515729904175,0.8083423972129822
4,0.8884583711624146,0.3248956501483917,0.6945244669914246,0.8404555320739746
5,0.9150290489196777,0.26083454489707947,0.6714697480201721,0.8955307602882385
6,0.9296982884407043,0.21923264861106873,0.6772334575653076,0.9423812031745911
7,0.9440907835960388,0.1827208548784256,0.6743515729904175,1.0104814767837524
8,0.9540547728538513,0.15115337073802948,0.6599423885345459,1.0573058128356934
9,0.9606974720954895,0.1324130743741989,0.6484149694442749,1.1496033668518066
10,0.9648491740226746,0.11600769311189651,0.6714697480201721,1.2068963050842285
11,0.9648491740226746,0.11257955431938171,0.6599423885345459,1.250012755393982
12,0.9723221659660339,0.09353838115930557,0.6570605039596558,1.2731633186340332
13,0.973706066608429,0.08734025806188583,0.6541786789894104,1.3801161050796509
14,0.973706066608429,0.0850500538945198,0.6484149694442749,1.3606359958648682
15,0.974259614944458,0.08479027450084686,0.6484149694442749,1.4242298603057861
16,0.9739828109741211,0.0821738913655281,0.6570605039596558,1.4727228879928589
17,0.975643515586853,0.07620717585086823,0.6455331444740295,1.4657610654830933
18,0.974259614944458,0.07354941219091415,0.6426513195037842,1.503204107284546
19,0.9748131632804871,0.07275419682264328,0.6657060384750366,1.5359452962875366
20,0.9775809645652771,0.06558895856142044,0.6484149694442749,1.572955846786499
21,0.9789648652076721,0.06567700952291489,0.6368876099586487,1.589884877204895
22,0.9778577089309692,0.06593922525644302,0.6311239004135132,1.6919914484024048
23,0.977027416229248,0.06123867630958557,0.6368876099586487,1.6919400691986084
24,0.9781345129013062,0.06113051995635033,0.6340057849884033,1.7011284828186035
